Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10u,
"C3, C8, C9",0603,3,47n,
"C4, C5, C6, C7",0603,4,100n,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D5, D6, D7, D8, D9",XL-1615RGBC-WS2812B-S,45,XL-1615RGBC,
J1,USB_C_Receptacle_TYPE-C-16P-CB1-6-073,1,USB_C_Receptacle_USB2.0_16P,
J2,tactictoe-sw-pins,1,Conn_01x04,
"R10, R11, R12, R13, R14, R6, R7, R8, R9",0603,9,1k,
"R4, R5",0603,2,5k1,
"T1, T2, T3, T4, T5, T6, T7, T8, T9",Touch-pad_XL-1615,9,Touchpad,
U1,QFN-28_4x4mm_P0.5mm,1,F042G6U6TR,
U2,SOT-23-5,1,TLV74033PDBVR,
